Plant name ,Disease name,Disease detail,Cause of disease ,Treatment on it,Plant Health Tips 
Apple,Apple scab,"Apple scab produces dark blotches or lesions on the leaves, fruit, and sometimes young twigs. Infections in young leaves often cause leaf deformities, and affected plants may drop their fruit prematurely. All apple species (genus Malus) are affected, though some cultivars have greater resistance.", disease of apple trees caused by the ascomycete fungus Venturia inaequalis. Apple scab is found wherever apples and crabapples are grown but is most severe where spring and summer are cool and moist. The disease can cause high crop losses and is thus of economic import to apple growers.,Apple Scab can be treated with: Propizol® Fungicide (Crabapples only) or PHOSPHO-jet. *Propizol is for ornamental use only. Fruit are not to be used for human or animal consumption., Regular spraying with fungicides is the most effective method of controlling the disease.
Apple,Black rot,"When an apple is cut (or bruised), oxygen is introduced into the injured plant tissue. When oxygen is present in cells, polyphenol oxidase (PPO) enzymes in the chloroplasts rapidly oxidize phenolic compounds naturally present in the apple tissues to o-quinones, colorless precursors to brown-colored secondary products","Black rot is caused by the fungus Diplodia seriata (syn Botryosphaeria obtusa). The fungus can infect dead tissue as well as living trunks, branches, leaves and fruits. The black rot fungi survive Minnesota winters in branch cankers and mummified fruit (shriveled and dried fruit) attached to the tree.","1.Prune out dead or diseased branches.
2.Pick all dried and shriveled fruits remaining on the trees.
3.Remove infected plant material from the area.
4.All infected plant parts should be burned, buried or sent to a municipal composting site.
5.Be sure to remove the stumps of any apple trees you cut down.","Black rot spores love moisture, so you want to reduce the amount of moisture held in the canopy by providing great air circulation. During dormancy, prune heavily keeping only a few healthy, strong canes from last year's growth. Prune out any diseased parts of the vine too."
Apple,Cedar apple rust,"Cedar apple rust (Gymnosporangium juniperi-virginianae) is a fungal disease that requires juniper plants to complete its complicated two year life-cycle. Spores overwinter as a reddish-brown gall on young twigs of various juniper species. In early spring, during wet weather, these galls swell and bright orange masses of spores are blown by the wind where they infect susceptible apple and crab-apple trees. The spores that develop on these trees will only infect junipers the following year. From year to year, the disease must pass from junipers to apples to junipers again; it cannot spread between apple trees.",All are caused by different species of the fungus Gymnosporangium and have various junipers and red cedars (juniperus species) as an alternate host. Apples are generally most susceptible to infection by the rust fungi during the period from early bloom until about 30 days after bloom.,"1.Choose resistant cultivars when available.
2.Rake up and dispose of fallen leaves and other debris from under trees.
3.Remove galls from infected junipers. In some cases, juniper plants should be removed entirely.", Spraying apple trees with copper can be done to treat cedar apple rust and prevent other fungal infections.
Apple,Healthy Apple,"No need to any effort on it.  Just give them basic needs for better growth and production. Plants need air, light, warmth, water and nutrients to be healthy.",,,
Blueberry,Healthy Blueberry,"No need to any effort on it.  Just give them basic needs for better growth and production. Plants need air, light, warmth, water and nutrients to be healthy.",,,
Cherry_(including_sour),Healthy Cherry,"No need to any effort on it.  Just give them basic needs for better growth and production. Plants need air, light, warmth, water and nutrients to be healthy.",,,
Cherry_(including_sour),Cherry powdery mildew,It is important to know when cherry powdery mildew is active because often growers only manage the disease during the cherry fruit growing season. Continue management during the full fungal growing season which continues through late summer and early fall,"It is caused by Podosphaera clandestina, an obligate biotrophic fungus. Mid- and late-season sweet cherry (Prunus avium) cultivars are commonly affected, rendering them unmarketable due to the covering of white fungal growth on the cherry surface.","Spray on plants every one to two weeks. Potassium bicarbonate– Similar to baking soda, this has the unique advantage of actually eliminating powdery mildew once it's there. Potassium bicarbonate is a contact fungicide which kills the powdery mildew spores quickly.",Season long disease control of both leaves and fruit is critical to minimize overall disease pressure in the orchard and consequently to protect developing fruit from accumulating spores on their surfaces.
Corn_(maize),Cercospora leafspot Gray leafspot,"Grey leaf spot (GLS) is a foliar fungal disease that affects maize, also known as corn. GLS is considered one of the most significant yield-limiting diseases of corn worldwide. There are two fungal pathogens that cause GLS: Cercospora zeae-maydis and Cercospora zeina.","Gray leaf spot on corn, caused by the fungus Cercospora zeae-maydis, is a peren- nial and economically damaging disease in the United States. Since the mid-1990s, the disease has increased in importance in Indiana, and now is the one of the most important foliar diseases of corn in the state.","Management strategies for gray leaf spot include tillage, crop rotation and planting resistant hybrids. Fungicides may be needed to prevent significant loss when plants are infected early and environmental conditions favor disease.",Avoid fields with poor air circulation. Chemical Controls & Pesticides
Corn_(maize),Common rust,"Common rust produces rust-colored to dark brown, elongated pustules on both leaf surfaces. The pustules contain rust spores (urediniospores) that are cinnamon brown in color. Pustules darken as they age. Leaves, as well as sheaths, can be infected.","Common rust produces rust-colored to dark brown, elongated pustules on both leaf surfaces. The pustules contain rust spores (urediniospores) that are cinnamon brown in color. Pustules darken as they age. Leaves, as well as sheaths, can be infected.","To reduce the incidence of corn rust, plant only corn that has resistance to the fungus. Resistance is either in the form of race-specific resistance or partial rust resistance. In either case, no sweet corn is completely resistant. If the corn begins to show symptoms of infection, immediately spray with a fungicide.",
Corn_(maize),Healthy Corn,"No need to any effort on it.  Just give them basic needs for better growth and production. Plants need air, light, warmth, water and nutrients to be healthy.",,,
